trakt_id,title,year,director,actors,language,runtime,watchers,votes,comment_count,translations_count,genres,country,certification,rating_1_votes,rating_2_votes,rating_3_votes,rating_4_votes,rating_5_votes,rating_6_votes,rating_7_votes,rating_8_votes,rating_9_votes,rating_10_votes
537449,Dune: Part Two,2024,Denis Villeneuve,"Timothée Chalamet, Zendaya, Rebecca Ferguson",en,167.0,165766,34495,237,43,"science-fiction, adventure",us,PG-13,145,73,114,238,667,2005,4376,9047,8912,8917
395672,Deadpool & Wolverine,2024,Shawn Levy,"Ryan Reynolds, Hugh Jackman, Emma Corrin",en,128.0,185536,33969,327,41,"comedy, superhero, science-fiction, action",us,R,295,201,361,661,1543,3857,7169,8884,5162,5836
748546,The Substance,2024,Coralie Fargeat,"Demi Moore, Margaret Qualley, Dennis Quaid",en,141.0,104003,22114,345,39,"horror, science-fiction, thriller",gb,R,687,459,572,752,1552,3148,5168,5271,2698,1807
759944,Alien: Romulus,2024,Fede Álvarez,"Cailee Spaeny, David Jonsson, Archie Renaux",en,119.0,99235,19540,237,39,"science-fiction, horror",us,R,136,90,166,374,1066,3076,6286,5177,1804,1365
409281,Gladiator II,2024,Ridley Scott,"Paul Mescal, Denzel Washington, Pedro Pascal",en,148.0,103300,19636,184,38,"action, adventure, drama",us,R,214,203,366,788,1902,4464,5348,3430,1296,1625
623532,Furiosa: A Mad Max Saga,2024,George Miller,"Anya Taylor-Joy, Chris Hemsworth, Tom Burke",en,149.0,100682,18776,179,38,"action, science-fiction, adventure",au,R,124,81,145,270,886,2385,5410,5681,2312,1482
955488,The Wild Robot,2024,Chris Sanders,"Lupita Nyong'o, Pedro Pascal, Kit Connor",en,102.0,90305,16789,190,41,"animation, science-fiction, family, adventure",us,PG,58,19,41,90,313,967,2307,4698,3883,4413
692878,The Beekeeper,2024,David Ayer,"Jason Statham, Emmy Raver-Lampman, Josh Hutcherson",en,106.0,107848,18152,205,39,"action, crime, thriller",us,R,181,162,320,534,1372,3409,4947,3358,1530,2339
822464,Inside Out 2,2024,Kelsey Mann,"Amy Poehler, Maya Hawke, Kensington Tallman",en,97.0,99088,17235,115,40,"animation, adventure, comedy, family",us,PG,96,44,69,173,666,2033,4614,5060,2270,2210
586621,The Fall Guy,2024,David Leitch,"Ryan Gosling, Emily Blunt, Aaron Taylor-Johnson",en,127.0,98570,17158,190,38,"action, comedy, romance",us,PG-13,136,127,217,410,1122,3112,5508,4111,1319,1096
745438,Civil War,2024,Alex Garland,"Kirsten Dunst, Wagner Moura, Cailee Spaeny",en,109.0,88193,16635,200,37,"action, war, drama",gb,R,234,175,297,586,1397,3089,4970,3836,1307,744
730642,Venom: The Last Dance,2024,Kelly Marcel,"Tom Hardy, Chiwetel Ejiofor, Juno Temple",en,109.0,97506,15740,123,42,"action, adventure, science-fiction, superhero",us,PG-13,184,186,376,812,1668,3638,3961,2299,925,1691
783046,Conclave,2024,Edward Berger,"Ralph Fiennes, Stanley Tucci, John Lithgow",en,120.0,71734,14717,137,38,"drama, thriller",us,PG,114,57,90,175,651,1832,4759,4484,1654,900
807959,Carry-On,2024,Jaume Collet-Serra,"Taron Egerton, Jason Bateman, Sofia Carson",en,120.0,71603,14624,150,38,"action, thriller",us,PG-13,89,74,258,396,1124,2889,5084,2606,810,1294
561219,Twisters,2024,Lee Isaac Chung,"Daisy Edgar-Jones, Glen Powell, Anthony Ramos",en,123.0,94216,14537,170,38,"action, thriller",us,PG-13,142,123,228,494,1347,3416,4629,2500,757,901
488280,Kingdom of the Planet of the Apes,2024,Wes Ball,"Owen Teague, Freya Allan, Kevin Durand",en,145.0,84152,13864,118,40,"action, science-fiction, adventure",us,PG-13,108,68,113,256,967,2650,4883,3002,846,971
290190,Wicked,2024,Jon M. Chu,"Cynthia Erivo, Ariana Grande, Michelle Yeoh",en,162.0,83421,13171,154,39,"romance, fantasy, drama, musical",us,PG,269,125,168,307,757,1691,2808,3163,1720,2163
916302,Heretic,2024,"Scott Beck, Bryan Woods","Hugh Grant, Sophie Thatcher, Chloe East",en,111.0,69199,13341,152,35,"horror, thriller",us,R,85,76,120,258,818,2289,4595,3350,1071,679
808857,Nosferatu,2024,Robert Eggers,"Lily-Rose Depp, Nicholas Hoult, Bill Skarsgård",en,133.0,61794,13386,204,35,"horror, fantasy",us,R,177,139,245,486,1145,2341,3617,3172,1294,770
734869,Beetlejuice Beetlejuice,2024,Tim Burton,"Michael Keaton, Winona Ryder, Catherine O'Hara",en,105.0,76881,13297,131,37,"comedy, fantasy, horror",us,PG-13,153,112,221,470,1314,3047,4059,2225,694,1002
600962,A Quiet Place: Day One,2024,Michael Sarnoski,"Lupita Nyong'o, Joseph Quinn, Alex Wolff",en,100.0,73284,12780,175,38,"horror, science-fiction, thriller",us,PG-13,176,137,250,602,1577,3578,3590,1854,481,535
856080,Anora,2024,Sean Baker,"Mikey Madison, Mark Eydelshteyn, Yura Borisov",en,139.0,59626,11949,170,38,"drama, comedy, romance",us,R,217,127,210,269,759,1551,2978,3267,1701,870
675565,Red One,2024,Jake Kasdan,"Dwayne Johnson, Chris Evans, Lucy Liu",en,124.0,73482,12201,108,38,"holiday, action, comedy, fantasy",us,PG-13,136,150,293,417,1066,2559,3706,1939,756,1179
656266,Godzilla x Kong: The New Empire,2024,Adam Wingard,"Rebecca Hall, Brian Tyree Henry, Dan Stevens",en,115.0,76553,12077,135,38,"action, science-fiction, adventure",us,PG-13,162,123,230,492,1336,2744,3131,1804,728,1327
634646,The Ministry of Ungentlemanly Warfare,2024,Guy Ritchie,"Henry Cavill, Eiza González, Alan Ritchson",en,120.0,70571,11576,82,37,"war, action, comedy",us,R,57,33,63,172,595,1979,3758,2802,1085,1032
991188,Longlegs,2024,Osgood Perkins,"Maika Monroe, Nicolas Cage, Blair Underwood",en,101.0,57816,11745,166,37,"horror, crime, mystery",us,R,214,196,321,617,1337,2862,3192,1990,615,401
424256,Bad Boys: Ride or Die,2024,"Adil El Arbi, Bilall Fallah","Will Smith, Martin Lawrence, Vanessa Hudgens",en,116.0,76214,11135,81,35,"action, comedy, crime",us,R,115,70,131,261,868,2220,3182,2162,790,1336
830863,Trap,2024,M. Night Shyamalan,"Josh Hartnett, Ariel Donoghue, Saleka Night Shyamalan",en,105.0,59856,11873,215,37,"thriller, crime, horror",us,PG-13,278,271,483,778,1742,3048,2806,1459,450,558
238504,Road House,2024,Doug Liman,"Jake Gyllenhaal, Conor McGregor, Billy Magnussen",en,121.0,63655,11035,129,41,"action, thriller, drama",us,R,117,111,235,432,1077,2711,3523,1619,519,691
778125,Ghostbusters: Frozen Empire,2024,Gil Kenan,"Mckenna Grace, Paul Rudd, Carrie Coon",en,115.0,67260,10872,100,36,"fantasy, adventure, comedy",us,PG-13,139,83,206,504,1300,2975,2918,1392,502,853
391372,Kraven the Hunter,2024,J.C. Chandor,"Aaron Taylor-Johnson, Ariana DeBose, Fred Hechinger",en,127.0,64328,10884,111,37,"action, adventure, thriller, superhero",us,R,258,244,383,632,1533,2437,2446,1382,510,1059
890358,Juror #2,2024,Clint Eastwood,"Nicholas Hoult, Toni Collette, J.K. Simmons",en,114.0,50072,10224,81,34,"drama, thriller",us,PG-13,51,31,63,138,607,1782,3738,2497,748,569
601689,Damsel,2024,Juan Carlos Fresnadillo,"Millie Bobby Brown, Brooke Carter, Nick Robinson",en,107.0,49864,9929,115,40,"fantasy, adventure, action",us,PG-13,101,116,268,392,905,2153,3069,1405,503,1017
702643,Wolfs,2024,Jon Watts,"George Clooney, Brad Pitt, Austin Abrams",en,108.0,55461,9745,73,37,"comedy, crime",us,R,66,35,86,217,854,2437,3171,1780,497,602
367444,Despicable Me 4,2024,Chris Renaud,"Steve Carell, Kristen Wiig, Will Ferrell",en,94.0,73165,9255,51,39,"animation, family, comedy, superhero, science-fiction, action",us,PG,92,70,123,342,1062,1986,2370,1447,582,1180
1005024,Moana 2,2024,"Jason Hand, David G. Derrick Jr., Dana Ledoux Miller","Auliʻi Cravalho, Dwayne Johnson, Hualālai Chung",en,100.0,70613,9059,79,43,"musical, animation, adventure, family, comedy, fantasy",us,PG,84,69,112,295,929,2025,2379,1402,636,1128
753560,Late Night with the Devil,2024,"Colin Cairnes, Cameron Cairnes","David Dastmalchian, Laura Gordon, Ian Bliss",en,93.0,39805,9025,121,33,horror,us,R,100,75,119,215,639,1658,3089,1998,686,446
783039,Hit Man,2024,Richard Linklater,"Glen Powell, Adria Arjona, Austin Amelio",en,116.0,48998,8884,93,33,"comedy, crime, romance",us,R,57,60,115,196,597,1883,3228,1702,527,519
